rISTC,rRAC
rIP,rRAC
rCUN,rRAC
rLING,rRAC
lLOF,rRAC
lPORB,rRAC
lMOF,rRAC
lPOPE,rRAC
lSF,rRAC
lPREC,rRAC
lRAC,rRAC
lPC,rRAC
lISTC,rRAC
lSP,rRAC
lPCUN,rRAC
lLOC,rRAC
rPTRI,rCAC
rPC,rCAC
rISTC,rCAC
rIP,rCAC
rLING,rCAC
rFUS,rCAC
rST,rCAC
rTT,rCAC
lLOF,rCAC
lPTRI,rCAC
lPOPE,rCAC
LRMF,rCAC
lTP,rCAC
lMT,rCAC
lST,rCAC
rPTRI,rPC
rPARC,rPC
rCAC,rPC
rSP,rPC
rLOCC,rPC
rST,rPC
lLOF,rPC
lFP,rPC
lPTRI,rPC
lPOPE,rPC
LRMF,rPC
lSP,rPC
lPARH,rPC
lTP,rPC
rMOF,rISTC
rPTRI,rISTC
rRAC,rISTC
rCAC,rISTC
rIP,rISTC
rCUN,rISTC
rMT,rISTC
rST,rISTC
lLOF,rISTC
lFP,rISTC
lPTRI,rISTC
lPC,rISTC
lPARH,rISTC
rPREC,rPSTC
rPCUN,rPSTC
rMT,rPSTC
lSF,rPSTC
lCMF,rPSTC
lPREC,rPSTC
lPC,rPSTC
lPSTC,rPSTC
lSMAR,rPSTC
lPCUN,rPSTC
lCUN,rPSTC
lPCAL,rPSTC
lFUS,rPSTC
lPARH,rPSTC
lTP,rPSTC
lIT,rPSTC
lMT,rPSTC
lST,rPSTC
lTT,rPSTC
rLOF,rSMAR
rLING,rSMAR
rENT,rSMAR
LRMF,rSMAR
lSF,rSMAR
lCMF,rSMAR
lLOC,rSMAR
lPARH,rSMAR
lENT,rSMAR
lTP,rSMAR
lMT,rSMAR
lTT,rSMAR
rPC,rSP
rPCAL,rSP
rENT,rSP
lFP,rSP
lPOPE,rSP
lCAC,rSP
lLING,rSP
rMOF,rIP
rPTRI,rIP
rPREC,rIP
rRAC,rIP
rCAC,rIP
rISTC,rIP
rMT,rIP
rST,rIP
lFP,rIP
lPTRI,rIP
lRAC,rIP
lLOC,rIP
lPARH,rIP
lST,rIP
rRMF,rPCUN
rPSTC,rPCUN
rCUN,rPCUN
rMT,rPCUN
rBSTS,rPCUN
lLOF,rPCUN
lSF,rPCUN
lCAC,rPCUN
lISTC,rPCUN
lIP,rPCUN
lPCUN,rPCUN
lLING,rPCUN
lFUS,rPCUN
lTP,rPCUN
rLOF,rCUN
rCMF,rCUN
rRAC,rCUN
rISTC,rCUN
rPCUN,rCUN
rIT,rCUN
lLOF,rCUN
LRMF,rCUN
lRAC,rCUN
lISTC,rCUN
lIP,rCUN
lENT,rCUN
rFP,rPCAL
rMOF,rPCAL
rPTRI,rPCAL
rPOPE,rPCAL
rSF,rPCAL
rPARC,rPCAL
rSP,rPCAL
rTP,rPCAL
rIT,rPCAL
rTT,rPCAL
lMOF,rPCAL
lMT,rPCAL
lTT,rPCAL
rFP,rLOCC
rPOPE,rLOCC
rPC,rLOCC
lMOF,rLOCC
lPTRI,rLOCC
lPSTC,rLOCC
lIP,rLOCC
lFUS,rLOCC
lTP,rLOCC
lBSTS,rLOCC
rPORB,rLING
rPTRI,rLING
rRAC,rLING
rCAC,rLING
rSMAR,rLING
lPTRI,rLING
lSF,rLING
lCMF,rLING
lPCAL,rLING
lLOC,rLING
lPARH,rLING
lENT,rLING
lTP,rLING
lMT,rLING
rCMF,rFUS
rCAC,rFUS
rENT,rFUS
lFP,rFUS
lPREC,rFUS
lISTC,rFUS
lIP,rFUS
lCUN,rFUS
lTT,rFUS
lFP,rPARH
lPOPE,rPARH
lCMF,rPARH
rPOPE,rENT
rSF,rENT
rSMAR,rENT
rSP,rENT
rFUS,rENT
rTP,rENT
rMT,rENT
LRMF,rENT
lPARC,rENT
lSMAR,rENT
lIP,rENT
lTT,rENT
rPORB,rTP
rFP,rTP
rPTRI,rTP
rPARC,rTP
rPCAL,rTP
rENT,rTP
rIT,rTP
rST,rTP
lFP,rTP
lPARC,rTP
lRAC,rTP
lCUN,rTP
rCUN,rIT
rPCAL,rIT
rTP,rIT
rMT,rIT
rST,rIT
rTT,rIT
lPOPE,rIT
lCAC,rIT
lPC,rIT
lST,rIT
rPOPE,rMT
rRMF,rMT
rISTC,rMT
rPSTC,rMT
rIP,rMT
rPCUN,rMT
rENT,rMT
rIT,rMT
lPOPE,rMT
lPC,rMT
lPCUN,rMT
lFUS,rMT
lTP,rMT
lIT,rMT
rPORB,rBSTS
rRMF,rBSTS
rCMF,rBSTS
rPCUN,rBSTS
rTT,rBSTS
lFP,rBSTS
lMOF,rBSTS
lPREC,rBSTS
lRAC,rBSTS
lPCUN,rBSTS
lLOC,rBSTS
lBSTS,rBSTS
rFP,rST
rMOF,rST
rPTRI,rST
rPREC,rST
rCAC,rST
rPC,rST
rISTC,rST
rIP,rST
rTP,rST
rIT,rST
lPTRI,rST
