32	-47	61
36	-43	49
33	-41	40
30	-49	43
35	-50	56
17	-52	57
14	-61	60
24	-58	58
26	-54	52
29	-58	45
22	-64	50
13	-69	54
21	-64	41
26	-57	40
29	-61	29
25	-72	37
19	-72	44
22	-83	37
26	-78	29
29	-68	23
25	-78	22
19	-85	29
54	-46	27
54	-49	40
53	-43	37
40	-45	35
41	-52	39
50	-55	43
40	-59	44
35	-64	38
42	-64	36
39	-67	45
37	-73	38
35	-67	29
35	-73	21
36	-78	31
40	-81	22
42	-71	26
45	-75	17
47	-69	13
40	-63	15
42	-55	13
40	-63	24
47	-64	30
50	-58	26
50	-58	35
52	-51	31
49	-44	22
45	-50	20
50	-55	17
14	-41	63
10	-47	61
9	-51	54
8	-46	46
15	-45	49
8	-41	41
15	-47	40
11	-51	27
12	-54	37
8	-57	47
8	-65	45
7	-60	37
12	-64	35
14	-69	41
22	-72	36
21	-71	27
20	-61	31
25	-61	20
17	-58	25
6	-60	27
7	-56	18
15	-53	16
24	-59	12
19	-64	16
15	-73	23
8	-66	18
6	-81	31
14	-79	35
6	-75	22
12	-88	27
12	-91	15
6	-83	22
6	-88	12
18	-91	2
14	-86	7
14	-77	7
7	-71	10
18	-72	11
24	-68	9
14	-68	15
7	-74	16
13	-79	15
10	-89	9
16	-94	-5
25	-93	-7
30	-89	-8
29	-94	-2
19	-99	-1
24	-94	13
28	-89	4
29	-88	13
17	-100	8
14	-97	15
22	-89	20
26	-83	17
35	-83	15
34	-79	4
42	-83	-7
41	-83	0
37	-75	10
48	-77	6
45	-72	3
10	-88	-6
5	-86	-2
5	-71	8
12	-78	-1
18	-82	-8
18	-74	-3
25	-69	1
29	-53	-2
23	-60	-2
11	-69	0
6	-63	9
16	-58	0
10	-57	4
24	-59	4
15	-48	-2
22	-50	0
23	-48	-4
23	-83	-4
29	-78	-3
37	-77	-7
33	-70	-7
45	-72	-9
46	-63	-7
40	-61	-11
30	-65	-3
30	-58	-8
43	-54	-12
42	-47	-14
29	-49	-9
36	-44	-8
30	-40	-13
36	-35	-14
42	-38	-15
37	-30	-19
40	-22	-19
39	-13	-21
37	-6	-27
36	-4	-33
32	1	-35
17	-37	-6
31	-39	-6
22	-30	-12
37	-32	-11
28	-25	-17
29	-20	-22
25	-12	-25
27	-2	-28
27	8	-32
38	18	-27
33	17	-30
43	-60	1
49	-51	-9
57	-55	-8
52	-59	-3
56	-47	-9
56	-47	-15
56	-38	-18
50	-36	-15
54	-32	-15
58	-27	-22
50	-24	-20
48	-17	-24
58	-20	-24
54	-14	-28
44	-10	-26
48	-7	-33
43	1	-28
47	-5	-29
37	1	-31
48	-58	8
58	-53	10
54	-59	6
59	-51	1
65	-39	-2
58	-42	-5
65	-34	-8
59	-28	-12
66	-25	-8
52	-26	-8
65	-17	-12
59	-16	-16
53	-18	-12
52	-10	-16
63	-9	-16
54	-9	-21
58	0	-22
50	-3	-23
51	8	-26
44	11	-30
46	-42	14
53	-45	9
59	-41	-1
54	-35	9
49	-31	4
47	-40	2
47	-35	-1
61	-34	19
61	-36	12
66	-32	13
49	-32	14
43	-30	11
51	-24	8
62	-21	8
67	-26	5
59	-20	1
66	-16	5
46	-17	-2
55	-5	0
64	-8	0
50	-19	-2
45	-26	-2
48	-15	-8
61	-3	-3
48	-9	-8
53	6	-7
57	1	-8
49	-7	-13
49	2	-19
54	12	-11
46	-3	-13
47	6	-17
49	16	-17
44	13	-23
43	14	-21
51	-14	6
43	-21	10
37	-26	13
-16	16	-17
-25	14	-17
-26	19	-10
-27	27	0
-28	29	2
-36	23	-11
-31	23	-16
-36	29	-10
-24	29	-9
-20	24	-12
-15	24	-16
-14	33	-19
-11	45	-19
-16	40	-16
-22	36	8
-25	44	-8
-18	48	-12
-27	57	-9
-21	57	-11
-12	57	-14
-45	31	-11
-45	39	-11
-43	44	-9
-34	45	-8
-40	49	-7
-35	54	-6
-10	60	-9
-10	65	-3
-6	18	-14
-7	23	-17
-6	34	-21
-4	28	-22
-8	26	-11
-11	35	-10
-4	39	-21
-5	48	-18
-12	43	-8
-14	47	0
-8	52	-6
-6	57	-12
-40	33	-5
-49	34	-3
-43	39	3
-43	33	9
-52	29	5
-40	29	5
-31	30	6
-32	17	14
-38	22	12
-50	22	9
-41	9	12
-47	11	3
-52	14	10
-53	19	20
-47	24	18
-41	17	21
-40	9	21
-47	11	14
-20	54	2
-29	51	-1
-22	55	3
-27	46	8
-35	52	5
-39	44	7
-37	49	15
-31	47	16
-29	37	20
-37	44	22
-36	40	15
-37	32	17
-44	34	20
-40	38	27
-34	32	30
-28	32	33
-42	28	33
-44	29	26
-36	24	24
-11	56	4
-10	64	7
-18	61	8
-16	61	13
-8	60	18
-9	52	11
-13	48	6
-14	42	17
-7	48	21
-8	57	27
-14	53	26
-20	55	21
-23	52	17
-22	44	24
-21	40	30
-21	47	31
-13	48	35
-7	51	35
-7	37	32
-13	34	24
-13	26	31
-8	30	36
-7	44	43
-15	4	42
-19	32	34
-20	24	37
-20	31	47
-9	35	48
-6	29	45
-8	19	43
-12	13	39
-8	27	54
-17	26	50
-21	23	46
-20	12	47
-19	18	56
-8	19	58
-8	10	45
-11	-1	45
-8	5	54
-9	13	60
-18	11	59
-19	5	52
-19	-5	51
-18	3	62
-10	3	65
-6	-2	57
-5	-6	51
-17	-7	59
-10	-7	65
-34	5	28
-34	16	28
-43	23	36
-36	25	41
-28	22	36
-28	16	42
-29	11	52
-42	18	44
-36	8	35
-39	9	44
-39	9	51
-34	22	47
-25	1	45
-40	1	15
-46	-5	13
-55	-1	9
-55	5	5
-50	4	16
-56	6	22
-58	-2	15
-56	-1	31
-42	3	25
-53	5	30
-42	-1	33
-53	-1	38
-49	-6	26
-42	-10	31
-41	-13	39
-52	-6	44
-47	2	43
-42	-4	43
-45	-8	49
-38	-11	49
-33	-17	39
-34	-23	46
-38	-20	52
-40	-9	59
-35	-7	50
-27	-9	45
-23	-12	54
-26	-14	64
-33	-14	64
-26	-22	60
-22	-25	50
-16	-24	59
-22	-18	68
-12	-16	66
-10	-25	71
-9	-31	60
-4	-19	65
-5	-26	58
-3	-39	62
-5	-34	54
-10	-40	66
-13	-37	54
-17	-32	41
-11	-30	48
-13	-19	44
-6	-20	50
-5	-16	59
-6	30	-6
