rPREC,rMT
lISTC,rMT
lPSTC,rMT
lSMAR,rMT
lFUS,rMT
lPARH,rMT
lIT,rMT
lMT,rMT
lST,rMT
rPTRI,rBSTS
rRMF,rBSTS
rRAC,rBSTS
rCAC,rBSTS
rSMAR,rBSTS
rIP,rBSTS
rLING,rBSTS
rENT,rBSTS
rTT,rBSTS
lPORB,rBSTS
lFP,rBSTS
lMOF,rBSTS
lPTRI,rBSTS
lCMF,rBSTS
lPREC,rBSTS
lPCAL,rBSTS
lLOC,rBSTS
lPARH,rBSTS
lENT,rBSTS
lTP,rBSTS
lST,rBSTS
rFP,rST
rRAC,rST
rCAC,rST
rPC,rST
rIP,rST
lFP,rST
lPTRI,rST
LRMF,rST
lSF,rST
lPARH,rST
rLOF,rTT
rPTRI,rTT
rRMF,rTT
rRAC,rTT
rCAC,rTT
rPC,rTT
rISTC,rTT
rSMAR,rTT
rIP,rTT
rLING,rTT
rENT,rTT
rBSTS,rTT
lPORB,rTT
lFP,rTT
lMOF,rTT
lPTRI,rTT
lCMF,rTT
lPREC,rTT
lLOC,rTT
lPARH,rTT
lENT,rTT
lTP,rTT
lMT,rTT
lBSTS,rTT
rPCUN,lLOF
lIT,lLOF
rPTRI,lPORB
rRAC,lPORB
rPSTC,lPORB
rSMAR,lPORB
rLING,lPORB
rENT,lPORB
rTP,lPORB
rBSTS,lPORB
rTT,lPORB
lFP,lPORB
lMOF,lPORB
lCMF,lPORB
lLOC,lPORB
lPARH,lPORB
lENT,lPORB
lTP,lPORB
lIT,lPORB
rPTRI,lFP
rRMF,lFP
rRAC,lFP
rCAC,lFP
rPC,lFP
rISTC,lFP
rSMAR,lFP
rIP,lFP
rLING,lFP
rENT,lFP
rBSTS,lFP
rST,lFP
rTT,lFP
lPORB,lFP
lMOF,lFP
lPTRI,lFP
lCMF,lFP
lIP,lFP
lPCAL,lFP
lLOC,lFP
lPARH,lFP
lENT,lFP
lTP,lFP
lMT,lFP
lBSTS,lFP
rPTRI,lMOF
rRMF,lMOF
rSF,lMOF
rRAC,lMOF
rCAC,lMOF
rISTC,lMOF
rPSTC,lMOF
rSMAR,lMOF
rIP,lMOF
rLING,lMOF
rENT,lMOF
rBSTS,lMOF
rTT,lMOF
lPORB,lMOF
lFP,lMOF
lPTRI,lMOF
lCMF,lMOF
lPREC,lMOF
lLOC,lMOF
lFUS,lMOF
lPARH,lMOF
lENT,lMOF
lTP,lMOF
lMT,lMOF
lBSTS,lMOF
rPOPE,lPTRI
rRAC,lPTRI
rPC,lPTRI
rISTC,lPTRI
rSMAR,lPTRI
